variant,split,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_calibration_error,seeds,episodes_per_seed
observed_only_behavior_clone,nominal,0.5888,0.0119,0.4112,0.0119,0.0125,7,600
observed_only_behavior_clone,hidden_mode_shift,0.4062,0.0160,0.5938,0.0160,0.0100,7,600
observed_only_behavior_clone,embodiment_shift,0.4326,0.0068,0.5674,0.0068,0.0092,7,600
observed_only_behavior_clone,combined_stress,0.3155,0.0160,0.6845,0.0160,0.0157,7,600
data_augmentation_wam,nominal,0.6417,0.0199,0.3583,0.0199,0.0164,7,600
data_augmentation_wam,hidden_mode_shift,0.4962,0.0138,0.5038,0.0138,0.0145,7,600
data_augmentation_wam,embodiment_shift,0.5138,0.0084,0.4862,0.0084,0.0065,7,600
data_augmentation_wam,combined_stress,0.4186,0.0150,0.5814,0.0150,0.0130,7,600
scalar_uncertainty_planner,nominal,0.6817,0.0214,0.3183,0.0214,0.0201,7,600
scalar_uncertainty_planner,hidden_mode_shift,0.5538,0.0170,0.4462,0.0170,0.0106,7,600
scalar_uncertainty_planner,embodiment_shift,0.5769,0.0137,0.4231,0.0137,0.0153,7,600
scalar_uncertainty_planner,combined_stress,0.5014,0.0080,0.4986,0.0080,0.0099,7,600
ensemble_disagreement_planner,nominal,0.6907,0.0134,0.3093,0.0134,0.0086,7,600
ensemble_disagreement_planner,hidden_mode_shift,0.5859,0.0225,0.4141,0.0225,0.0195,7,600
ensemble_disagreement_planner,embodiment_shift,0.5905,0.0165,0.4095,0.0165,0.0191,7,600
ensemble_disagreement_planner,combined_stress,0.5331,0.0203,0.4669,0.0203,0.0252,7,600
conformal_risk_filter,nominal,0.6931,0.0163,0.3069,0.0163,0.0167,7,600
conformal_risk_filter,hidden_mode_shift,0.6069,0.0114,0.3931,0.0114,0.0137,7,600
conformal_risk_filter,embodiment_shift,0.6202,0.0049,0.3798,0.0049,0.0065,7,600
conformal_risk_filter,combined_stress,0.5579,0.0119,0.4421,0.0119,0.0145,7,600
proposed_branch_mechanism,nominal,0.7498,0.0095,0.2502,0.0095,0.0087,7,600
proposed_branch_mechanism,hidden_mode_shift,0.6857,0.0116,0.3143,0.0116,0.0095,7,600
proposed_branch_mechanism,embodiment_shift,0.6990,0.0125,0.3010,0.0125,0.0137,7,600
proposed_branch_mechanism,combined_stress,0.6552,0.0223,0.3448,0.0223,0.0163,7,600
oracle_branch_upper_bound,nominal,0.7986,0.0095,0.2014,0.0095,0.0118,7,600
oracle_branch_upper_bound,hidden_mode_shift,0.7569,0.0099,0.2431,0.0099,0.0118,7,600
oracle_branch_upper_bound,embodiment_shift,0.7686,0.0131,0.2314,0.0131,0.0103,7,600
oracle_branch_upper_bound,combined_stress,0.7307,0.0164,0.2693,0.0164,0.0135,7,600
